driver_id,safe_driving_score,familiar_zone_score,pattern_change_score,out_zone_behavior_risk,care_trigger_score,care_trigger,decision,reason_1,reason_2,reason_3
driver_074,8.89,0.0,74.16,26.11,60.73,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
driver_075,27.22,70.0,31.55,22.22,36.53,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
driver_076,11.36,0.0,35.47,97.1,67.67,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
driver_077,26.44,60.0,18.52,8.97,26.19,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
driver_078,8.18,45.0,90.94,44.27,74.78,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
driver_079,42.0,0.0,1.43,0.0,12.24,0,기본 유지,일부 생활권 밖 주행은 있으나 고위험 변화는 제한적,기존 마일리지/안전운전 혜택 판단은 유지 가능,추가 데이터 확보 후 재평가 가능
